nvir_act ipe eae eee
1 0.492296 0.142885 0.346397
2 0.476792 0.140995 0.334267
3 0.473398 0.139144 0.327113
4 0.468842 0.137108 0.315395
5 0.450536 0.136097 0.298994
6 0.446142 0.135317 0.299136
7 0.445987 0.133811 0.296819
8 0.438652 0.132760 0.291763
9 0.439782 0.131335 0.291882
10 0.440558 0.130373 0.291625
11 0.438743 0.128916 0.290394
12 0.438754 0.128578 0.290206
13 0.437741 0.128413 0.288506
14 0.436047 0.126240 0.285116
15 0.437234 0.125567 0.285642
16 0.437270 0.125145 0.285658
17 0.439463 0.124669 0.287078
18 0.440531 0.124130 0.287343
19 0.441724 0.123553 0.287961
20 0.441820 0.123410 0.287856
21 0.441606 0.123419 0.287780
22 0.441806 0.123368 0.287909
23 0.441902 0.123340 0.287949
24 0.442061 0.123309 0.288047
25 0.442132 0.123278 0.288067
26 0.444984 0.123389 0.291319
27 0.445111 0.123367 0.291402
28 0.445185 0.123334 0.291435
29 0.445364 0.123309 0.291573
30 0.446782 0.123327 0.293059
31 0.446624 0.123304 0.292941
32 0.446308 0.123020 0.292390
33 0.446448 0.123003 0.292487
34 0.446416 0.122964 0.292452
35 0.446362 0.122967 0.292434
36 0.448640 0.123002 0.294603
37 0.448649 0.122925 0.294440
38 0.449014 0.122451 0.294033
39 0.449577 0.122468 0.294622
40 0.450152 0.122478 0.295152
41 0.450584 0.122435 0.295406
42 0.450913 0.122369 0.295483
43 0.451954 0.122292 0.296114
44 0.453383 0.122300 0.297256
45 0.453881 0.122278 0.297728
46 0.454026 0.122146 0.297593
47 0.454078 0.122140 0.297653
48 0.454697 0.122051 0.297983
49 0.454959 0.122039 0.298201
50 0.455551 0.122060 0.298730
51 0.455520 0.122051 0.298671
52 0.455517 0.121940 0.298427
53 0.455807 0.121846 0.298509
