nvir_act ip_delta_emp2 delta_eomipmpe ipe ipe+delta_eomipmpe ea_delta_emp2 delta_eomeampe eae eae+delta_eomeampe
1 -0.195771 -0.022288 0.443620 0.421332 -0.202499 -0.018659 0.187362 0.168703
2 -0.171309 0.010429 0.417488 0.427917 -0.195057 -0.017608 0.184628 0.167020
3 -0.134063 0.007623 0.425459 0.433082 -0.180745 -0.013746 0.180508 0.166763
4 -0.102323 0.011899 0.422654 0.434553 -0.169129 -0.012484 0.179261 0.166777
5 -0.095052 0.013724 0.421386 0.435110 -0.138517 -0.011803 0.178530 0.166727
6 -0.083779 0.012287 0.422928 0.435214 -0.117345 -0.012160 0.179096 0.166936
7 -0.069189 0.010032 0.425177 0.435209 -0.113884 -0.011403 0.178343 0.166941
8 -0.064220 0.009252 0.426554 0.435805 -0.109640 -0.010843 0.177964 0.167121
9 -0.061385 0.008235 0.427244 0.435479 -0.104656 -0.010222 0.177293 0.167071
10 -0.058896 0.007514 0.427883 0.435397 -0.102676 -0.010197 0.177278 0.167081
11 -0.055509 0.006314 0.428674 0.434989 -0.100474 -0.010002 0.177039 0.167037
12 -0.048778 0.004370 0.428944 0.433315 -0.090266 -0.009557 0.176787 0.167230
13 -0.045811 0.003725 0.429281 0.433006 -0.088025 -0.009391 0.176629 0.167238
14 -0.040697 0.002885 0.429839 0.432724 -0.081310 -0.008861 0.176264 0.167403
15 -0.037046 0.002120 0.430254 0.432374 -0.073771 -0.007708 0.174960 0.167252
16 -0.030439 0.000769 0.430374 0.431143 -0.067114 -0.006443 0.173617 0.167174
17 -0.018987 -0.001295 0.431589 0.430294 -0.054192 -0.004591 0.171741 0.167150
18 -0.007163 -0.002912 0.432869 0.429957 -0.035604 -0.002521 0.169729 0.167209
19 0.000000 0.000000 0.433663 0.433663 0.000000 0.000000 0.167327 0.167327
