nvir_act delta_emp2 delta_eomipmpe ipe ipe+delta_eomipmpe delta_eomeampe eae eae+delta_eomeampe delta_eomeempe eee eee+delta_eomeempe
1 -0.263384 -0.022092 0.460978 0.438886 -0.650390 0.771052 0.120662 -0.404086 0.706623 0.302537
2 -0.234036 0.008853 0.433622 0.442475 -0.630324 0.752299 0.121975 -0.409169 0.712134 0.302966
3 -0.190363 0.003056 0.443591 0.446647 -0.613611 0.737447 0.123836 -0.439219 0.740648 0.301429
4 -0.154297 0.006856 0.440628 0.447484 -0.608395 0.731495 0.123101 -0.446199 0.746268 0.300069
5 -0.143284 0.008176 0.439530 0.447706 -0.603347 0.725897 0.122550 -0.439699 0.739924 0.300225
6 -0.129874 0.010056 0.437694 0.447750 -0.596836 0.719437 0.122601 -0.435613 0.735609 0.299995
7 -0.112412 0.005551 0.442648 0.448199 -0.595032 0.717591 0.122559 -0.437113 0.737376 0.300263
8 -0.097988 0.004400 0.444121 0.448521 -0.593667 0.716693 0.123026 -0.438104 0.738813 0.300709
9 -0.076180 0.000810 0.447820 0.448629 -0.592147 0.715962 0.123815 -0.442647 0.742777 0.300130
10 -0.070549 -0.000558 0.448421 0.447863 -0.585671 0.708835 0.123163 -0.437521 0.736911 0.299390
11 -0.063544 -0.000922 0.448751 0.447829 -0.469150 0.592931 0.123781 -0.326450 0.625108 0.298658
12 -0.055740 -0.000015 0.448617 0.448602 -0.466493 0.588367 0.121874 -0.325960 0.623440 0.297480
13 -0.049034 0.001143 0.448025 0.449168 -0.407799 0.529192 0.121393 -0.282740 0.579474 0.296734
14 -0.043653 -0.000941 0.449289 0.448349 -0.405323 0.526678 0.121355 -0.282875 0.578632 0.295757
15 -0.034074 -0.002882 0.449985 0.447103 -0.404302 0.524247 0.119945 -0.286545 0.579354 0.292809
16 -0.030700 -0.003105 0.450226 0.447121 -0.403315 0.523376 0.120061 -0.285533 0.578398 0.292865
17 -0.026025 -0.004717 0.451213 0.446496 -0.402116 0.522013 0.119898 -0.286019 0.578210 0.292191
18 -0.020549 -0.005702 0.451632 0.445930 -0.400696 0.520622 0.119925 -0.285931 0.577582 0.291652
19 -0.014431 -0.005978 0.451724 0.445746 -0.399744 0.519086 0.119342 -0.286474 0.577342 0.290867
20 -0.010849 -0.006789 0.452299 0.445510 -0.399555 0.518994 0.119439 -0.286856 0.577587 0.290731
21 -0.007355 -0.007027 0.452461 0.445434 -0.397158 0.516370 0.119212 -0.286832 0.577418 0.290585
22 -0.003615 -0.008196 0.453142 0.444946 -0.396805 0.516069 0.119264 -0.287641 0.577768 0.290126
23 0.002687 -0.008528 0.453196 0.444668 -0.395894 0.514789 0.118895 -0.287911 0.577627 0.289716
24 0.006633 -0.009365 0.453644 0.444279 -0.395665 0.514556 0.118892 -0.288595 0.577999 0.289404
25 0.010528 -0.010509 0.454234 0.443726 -0.395526 0.514462 0.118936 -0.289814 0.578768 0.288954
26 0.012543 -0.010689 0.454313 0.443624 -0.378398 0.497824 0.119425 -0.275457 0.564288 0.288831
27 0.014614 -0.011030 0.454464 0.443434 -0.377568 0.497130 0.119562 -0.275336 0.563913 0.288576
28 0.018241 -0.011242 0.454527 0.443284 -0.374883 0.493549 0.118667 -0.273652 0.561939 0.288287
