nvir_act ipe eae eee
1 0.483750 0.168708 0.324768
2 0.478406 0.167937 0.324833
3 0.476857 0.167369 0.322335
4 0.469626 0.166828 0.312841
5 0.468384 0.167374 0.315072
6 0.461941 0.164572 0.311646
7 0.462822 0.162028 0.311200
8 0.454504 0.161485 0.307462
9 0.455072 0.160418 0.306717
10 0.451904 0.152610 0.304154
11 0.450731 0.150633 0.305133
12 0.450716 0.150268 0.304956
13 0.450404 0.150232 0.304315
14 0.450225 0.145055 0.301695
15 0.450525 0.143761 0.301341
16 0.450829 0.143302 0.302026
17 0.451208 0.142660 0.301278
18 0.452507 0.142025 0.301843
19 0.454440 0.140858 0.303177
20 0.454667 0.140561 0.303110
21 0.454492 0.140548 0.303096
22 0.454590 0.140464 0.303121
23 0.454722 0.140417 0.303184
24 0.454884 0.140326 0.303228
25 0.454965 0.140273 0.303252
26 0.453695 0.138988 0.302154
27 0.453825 0.138954 0.302237
28 0.453903 0.138899 0.302258
29 0.454057 0.138849 0.302357
30 0.453062 0.137974 0.301455
31 0.452914 0.137950 0.301372
32 0.452948 0.137352 0.300929
33 0.453206 0.137233 0.301022
34 0.453335 0.137111 0.301092
35 0.453286 0.137115 0.301093
36 0.449776 0.133859 0.298205
37 0.449892 0.133757 0.298142
38 0.450347 0.133136 0.297677
39 0.450984 0.133119 0.298370
40 0.451628 0.133125 0.298958
41 0.451945 0.132627 0.299037
42 0.452369 0.132495 0.299198
43 0.451709 0.124278 0.297210
44 0.453008 0.123181 0.297020
45 0.453805 0.122411 0.297635
46 0.453949 0.122276 0.297494
47 0.454002 0.122269 0.297553
48 0.454638 0.122113 0.297913
49 0.454945 0.122082 0.298153
50 0.455551 0.122058 0.298735
51 0.455520 0.122049 0.298676
52 0.455517 0.121938 0.298432
53 0.455807 0.121846 0.298509
